time,adxl_acceleration_x,adxl_acceleration_y,adxl_acceleration_z,mpl_altitude,mpu_acceleration_x,mpu_acceleration_y,mpu_acceleration_z,mpu_gyroscope_x,mpu_gyroscope_y,mpu_gyroscope_z,mpu_magnetometer_x,mpu_magnetometer_y,mpu_magnetometer_z
1605249387.5675,-3.6873,-31.4990,40.1288,-2.3750,-0.0740,-0.2750,0.6600,28.6240,-34.5540,-12.8640,-6.8360,-9.8880,0.6710
1605249387.6330,-3.6873,-31.4990,40.1288,-0.5625,-0.0730,-0.2740,0.6600,29.4970,-35.4350,-13.3720,-6.8360,-9.7660,0.5490
1605249387.6877,-3.7265,-31.6559,40.1288,-1.3125,-0.0730,-0.2750,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249387.7235,-3.6481,-31.5382,40.1288,1.6250,-0.0730,-0.2750,0.6590,29.4970,-34.7300,-13.7110,-6.7750,-9.8270,0.6100
1605249387.7856,-3.7658,-31.7735,40.1288,2.2500,-0.0740,-0.2740,0.6620,0.0000,0.0000,0.0000,-6.9580,-9.7660,0.5490
1605249387.8219,-3.7265,-31.4205,40.1288,3.5626,-0.0730,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.8880,0.5490
1605249387.8533,-3.6088,-31.5774,40.1288,-0.5625,-0.0750,-0.2740,0.6600,29.8460,-34.3780,-13.7110,-6.8360,-9.7660,0.6710
1605249387.8744,-3.7658,-31.5382,40.1288,1.5625,-0.0750,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249387.9053,-3.6481,-31.4205,40.1288,-1.1250,-0.0770,-0.2730,0.6580,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.7320
1605249387.9404,-3.8050,-31.7343,40.1288,-0.5000,-0.0740,-0.2750,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6710
1605249387.9990,-3.6873,-31.4990,40.1288,-1.1250,-0.0730,-0.2740,0.6630,28.7990,-35.0830,-13.0340,-6.8360,-9.8270,0.6100
1605249388.0422,-3.6481,-31.4990,40.1288,0.1250,-0.0740,-0.2760,0.6650,0.0000,0.0000,0.0000,-6.7140,-9.9490,0.5490
1605249388.0861,-3.6481,-31.5774,40.1288,0.6250,-0.0750,-0.2750,0.6630,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249388.1299,-3.8442,-31.5774,40.1288,-3.5001,-0.0740,-0.2760,0.6590,29.4970,-33.3200,-13.3720,-6.8970,-9.7660,0.6100
1605249388.1674,-3.5304,-31.5382,40.1288,1.2500,-0.0740,-0.2770,0.6590,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.5490
1605249388.2065,-3.6088,-31.5774,40.1288,0.6250,-0.0740,-0.2730,0.6570,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6710
1605249388.2485,-3.6481,-31.8128,40.1288,-3.5001,-0.0750,-0.2750,0.6590,30.1950,-34.3780,-14.0490,-6.8360,-9.7660,0.6710
1605249388.2817,-3.9227,-31.6559,40.1288,-0.2500,-0.0730,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249388.3076,-3.6088,-31.5774,40.1288,-2.4375,-0.0740,-0.2720,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6710
1605249388.3343,-3.7265,-31.5774,40.1288,1.2500,-0.0740,-0.2730,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249388.3635,-3.6481,-31.7343,40.1288,-0.1875,-0.0740,-0.2750,0.6610,30.3700,-34.2010,-13.2030,-6.8970,-9.7660,0.7320
1605249388.3924,-3.5304,-31.4990,40.1288,-0.6250,-0.0760,-0.2760,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6100
1605249388.4300,-3.9227,-31.4205,40.1288,0.5000,-0.0750,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.7050,0.6710
1605249388.4614,-3.6088,-31.6951,40.1288,-0.1875,-0.0740,-0.2760,0.6560,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6710
1605249388.5038,-3.6481,-31.4597,40.1288,2.3750,-0.0740,-0.2720,0.6650,29.6720,-35.9640,-12.8640,-6.7750,-9.7660,0.6710
1605249388.5342,-3.6088,-31.7735,40.1288,0.3750,-0.0740,-0.2730,0.6610,0.0000,0.0000,0.0000,-6.8970,-9.8880,0.6100
1605249388.5600,-3.6088,-31.4597,40.1288,2.9375,-0.0720,-0.2730,0.6620,0.0000,0.0000,0.0000,-7.0190,-9.7660,0.6710
1605249388.5936,-3.6088,-31.5382,40.1288,1.9375,-0.0760,-0.2730,0.6610,0.0000,0.0000,0.0000,-6.7750,-9.7050,0.6100
1605249388.6274,-3.6088,-31.3813,40.1288,-0.4375,-0.0760,-0.2730,0.6610,29.8460,-34.7300,-13.3720,-6.8360,-9.8270,0.6100
1605249388.6607,-3.7265,-31.5774,40.1288,1.3750,-0.0730,-0.2740,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6710
1605249388.7000,-3.8834,-31.4990,40.1288,-0.9375,-0.0720,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.5490
1605249388.7287,-3.4519,-31.4597,40.1288,0.9375,-0.0750,-0.2730,0.6590,30.5440,-35.4350,-12.6950,-6.7750,-9.8270,0.6100
1605249388.7575,-3.5304,-31.4990,40.1288,1.8125,-0.0750,-0.2730,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.7050,0.6710
1605249388.7898,-3.7265,-31.5382,40.1288,-0.1875,-0.0750,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.9490,0.6100
1605249388.8328,-3.6873,-31.4597,40.1288,0.3125,-0.0750,-0.2730,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249388.8488,-3.5304,-31.5382,40.1288,0.5625,-0.0740,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.7050,0.6710
1605249388.8870,-3.6088,-31.5774,40.1288,2.4375,-0.0730,-0.2760,0.6580,29.4970,-33.6720,-13.7110,-6.8970,-9.7660,0.6100
1605249388.9171,-3.6873,-31.5382,40.1288,-0.5000,-0.0750,-0.2730,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.6440,0.6710
1605249388.9577,-3.6088,-31.5382,40.1288,0.6250,-0.0740,-0.2720,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.7660,0.6710
1605249388.9996,-3.6088,-31.4597,40.1288,1.0000,-0.0750,-0.2730,0.6600,31.0680,-35.6120,-14.2180,-6.8970,-9.7660,0.6710
1605249389.0325,-3.6481,-31.5774,40.1288,1.3750,-0.0760,-0.2730,0.6580,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.7320
