Time ms, ADXL X Acceleration, ADXL Y Acceleration, ADXL Z Acceleration, Altitude m
0,0,0,0,0
0.15,-16.969,0,0,392.85
0.3,-17.137,0,0,421.07
0.45,-17.309,0,0,448.91
0.6,-17.468,0,0,476.35
0.75,-17.6,0,0,503.39
0.9,-17.696,0,0,530.04
1.05,-17.752,0,0,556.28
1.2,-17.768,0,0,582.12
1.35,-17.746,0,0,607.56
1.5,-17.691,0,0,632.6
1.65,-17.608,0,0,657.24
1.8,-17.5,0,0,681.48
1.95,-17.374,0,0,705.32
2.1,-17.232,0,0,728.77
2.25,-17.079,0,0,751.83
2.4,-16.917,0,0,774.51
2.55,-16.748,0,0,796.81
2.7,-16.574,0,0,818.73
2.85,-16.399,0,0,840.27
3,-16.221,0,0,861.45
3.15,-16.043,0,0,882.26
3.3,-15.866,0,0,902.71
3.45,-15.69,0,0,922.8
3.6,-15.515,0,0,942.54
3.75,-15.342,0,0,961.93
3.9,-15.171,0,0,980.97
4.05,-15.003,0,0,999.67
4.2,-14.838,0,0,1018
4.35,-14.676,0,0,1036.1
4.5,-14.517,0,0,1053.8
4.65,-14.361,0,0,1071.1
4.8,-14.208,0,0,1088.2
4.95,-14.059,0,0,1104.9
5.1,-13.913,0,0,1121.3
5.25,-13.77,0,0,1137.4
5.4,-13.63,0,0,1153.2
5.55,-13.493,0,0,1168.7
5.7,-13.36,0,0,1183.9
5.85,-13.23,0,0,1198.8
6,-13.103,0,0,1213.3
6.15,-12.98,0,0,1227.6
6.3,-12.859,0,0,1241.6
6.45,-12.741,0,0,1255.3
6.6,-12.626,0,0,1268.7
6.75,-12.515,0,0,1281.9
6.9,-12.406,0,0,1294.7
7.05,-12.3,0,0,1307.3
7.2,-12.197,0,0,1319.6
7.35,-12.096,0,0,1331.6
7.5,-11.998,0,0,1343.4
7.65,-11.903,0,0,1354.8
7.8,-11.811,0,0,1366.1
7.95,-11.721,0,0,1377
8.1,-11.633,0,0,1387.7
8.25,-11.548,0,0,1398.1
8.4,-11.466,0,0,1408.3
8.55,-11.385,0,0,1418.2
8.7,-11.308,0,0,1427.8
8.85,-11.232,0,0,1437.2
9,-11.159,0,0,1446.3
9.15,-11.088,0,0,1455.2
9.3,-11.019,0,0,1463.9
9.45,-10.952,0,0,1472.2
9.6,-10.888,0,0,1480.4
9.75,-10.825,0,0,1488.3
9.9,-10.765,0,0,1495.9
10.05,-10.707,0,0,1503.4
10.2,-10.651,0,0,1510.5
10.35,-10.596,0,0,1517.5
10.5,-10.544,0,0,1524.2
10.65,-10.494,0,0,1530.6
10.8,-10.445,0,0,1536.8
10.95,-10.398,0,0,1542.8
11.1,-10.354,0,0,1548.6
11.25,-10.311,0,0,1554.1
11.4,-10.27,0,0,1559.4
11.55,-10.231,0,0,1564.4
11.7,-10.193,0,0,1569.2
11.85,-10.158,0,0,1573.8
12,-10.124,0,0,1578.2
12.15,-10.092,0,0,1582.3
12.3,-10.062,0,0,1586.3
12.45,-10.033,0,0,1589.9
12.6,-10.006,0,0,1593.4
12.75,-9.981,0,0,1596.6
12.9,-9.9577,0,0,1599.6
13.05,-9.936,0,0,1602.4
13.2,-9.9161,0,0,1605
13.35,-9.8979,0,0,1607.3
13.5,-9.8813,0,0,1609.4
13.65,-9.8665,0,0,1611.3
13.8,-9.8534,0,0,1613
13.95,-9.8421,0,0,1614.5
14.1,-9.8324,0,0,1615.7
14.25,-9.8244,0,0,1616.7
14.4,-9.8182,0,0,1617.5
14.55,-9.8137,0,0,1618.1
14.7,-9.811,0,0,1618.4
14.85,-9.81,0,0,1618.5
15,-9.8108,0,0,1618.4
