Time ms,ADXL X Acceleration,ADXL Y Acceleration,ADXL Z Acceleration,Altitude m
0,0,0,0,0
0.01,-16.468,0,0,305.1
0.02,-16.456,0,0,306.93
0.03,-16.444,0,0,308.75
0.04,-16.432,0,0,310.58
0.05,-16.42,0,0,312.4
0.06,-16.409,0,0,314.22
0.07,-16.397,0,0,316.04
0.08,-16.385,0,0,317.85
0.09,-16.373,0,0,319.67
0.1,-16.361,0,0,321.48
0.11,-16.349,0,0,323.29
0.12,-16.337,0,0,325.1
0.13,-16.326,0,0,326.91
0.14,-16.314,0,0,328.72
0.15,-16.302,0,0,330.52
0.16,-16.29,0,0,332.33
0.17,-16.279,0,0,334.13
0.18,-16.267,0,0,335.93
0.19,-16.255,0,0,337.73
0.2,-16.244,0,0,339.52
0.21,-16.232,0,0,341.32
0.22,-16.221,0,0,343.11
0.23,-16.209,0,0,344.9
0.24,-16.197,0,0,346.7
0.25,-16.186,0,0,348.48
0.26,-16.174,0,0,350.27
0.27,-16.163,0,0,352.06
0.28,-16.151,0,0,353.84
0.29,-16.14,0,0,355.62
0.3,-16.128,0,0,357.4
0.31,-16.117,0,0,359.18
0.32,-16.105,0,0,360.96
0.33,-16.094,0,0,362.74
0.34,-16.083,0,0,364.51
0.35,-16.071,0,0,366.28
0.36,-16.06,0,0,368.05
0.37,-16.049,0,0,369.82
0.38,-16.037,0,0,371.59
0.39,-16.026,0,0,373.36
0.4,-16.015,0,0,375.12
0.41,-16.003,0,0,376.89
0.42,-15.992,0,0,378.65
0.43,-15.981,0,0,380.41
0.44,-15.97,0,0,382.16
0.45,-15.959,0,0,383.92
0.46,-15.947,0,0,385.68
0.47,-15.936,0,0,387.43
0.48,-15.925,0,0,389.18
0.49,-15.914,0,0,390.93
0.5,-15.903,0,0,392.68
0.51,-15.892,0,0,394.43
0.52,-15.881,0,0,396.17
0.53,-15.87,0,0,397.92
0.54,-15.859,0,0,399.66
0.55,-15.848,0,0,401.4
0.56,-15.837,0,0,403.14
0.57,-15.826,0,0,404.88
0.58,-15.815,0,0,406.61
0.59,-15.804,0,0,408.35
0.6,-15.793,0,0,410.08
0.61,-15.782,0,0,411.81
0.62,-15.771,0,0,413.54
0.63,-15.76,0,0,415.27
0.64,-15.749,0,0,417
0.65,-15.739,0,0,418.72
0.66,-15.728,0,0,420.44
0.67,-15.717,0,0,422.17
0.68,-15.706,0,0,423.89
0.69,-15.695,0,0,425.6
0.7,-15.685,0,0,427.32
0.71,-15.674,0,0,429.04
0.72,-15.663,0,0,430.75
0.73,-15.653,0,0,432.46
0.74,-15.642,0,0,434.17
0.75,-15.631,0,0,435.88
0.76,-15.621,0,0,437.59
0.77,-15.61,0,0,439.3
0.78,-15.599,0,0,441
0.79,-15.589,0,0,442.7
0.8,-15.578,0,0,444.41
0.81,-15.568,0,0,446.11
0.82,-15.557,0,0,447.8
0.83,-15.547,0,0,449.5
0.84,-15.536,0,0,451.2
0.85,-15.526,0,0,452.89
0.86,-15.515,0,0,454.58
0.87,-15.505,0,0,456.27
0.88,-15.494,0,0,457.96
0.89,-15.484,0,0,459.65
0.9,-15.473,0,0,461.33
0.91,-15.463,0,0,463.02
0.92,-15.453,0,0,464.7
0.93,-15.442,0,0,466.38
0.94,-15.432,0,0,468.06
0.95,-15.422,0,0,469.74
0.96,-15.411,0,0,471.42
0.97,-15.401,0,0,473.09
0.98,-15.391,0,0,474.77
0.99,-15.38,0,0,476.44
1,-15.37,0,0,478.11
1.01,-15.36,0,0,479.78
1.02,-15.35,0,0,481.44
1.03,-15.34,0,0,483.11
1.04,-15.329,0,0,484.77
1.05,-15.319,0,0,486.44
1.06,-15.309,0,0,488.1
1.07,-15.299,0,0,489.76
1.08,-15.289,0,0,491.42
1.09,-15.279,0,0,493.07
1.1,-15.269,0,0,494.73
1.11,-15.259,0,0,496.38
1.12,-15.248,0,0,498.03
1.13,-15.238,0,0,499.68
1.14,-15.228,0,0,501.33
1.15,-15.218,0,0,502.98
1.16,-15.208,0,0,504.63
1.17,-15.198,0,0,506.27
1.18,-15.189,0,0,507.91
1.19,-15.179,0,0,509.56
1.2,-15.169,0,0,511.2
1.21,-15.159,0,0,512.83
1.22,-15.149,0,0,514.47
1.23,-15.139,0,0,516.11
1.24,-15.129,0,0,517.74
1.25,-15.119,0,0,519.37
1.26,-15.109,0,0,521
1.27,-15.1,0,0,522.63
1.28,-15.09,0,0,524.26
1.29,-15.08,0,0,525.89
1.3,-15.07,0,0,527.51
1.31,-15.061,0,0,529.14
1.32,-15.051,0,0,530.76
1.33,-15.041,0,0,532.38
1.34,-15.031,0,0,534
1.35,-15.022,0,0,535.61
1.36,-15.012,0,0,537.23
1.37,-15.002,0,0,538.84
1.38,-14.993,0,0,540.46
1.39,-14.983,0,0,542.07
1.4,-14.973,0,0,543.68
1.41,-14.964,0,0,545.29
1.42,-14.954,0,0,546.89
1.43,-14.945,0,0,548.5
1.44,-14.935,0,0,550.1
1.45,-14.926,0,0,551.7
1.46,-14.916,0,0,553.3
1.47,-14.906,0,0,554.9
1.48,-14.897,0,0,556.5
1.49,-14.888,0,0,558.1
1.5,-14.878,0,0,559.69
1.51,-14.869,0,0,561.29
1.52,-14.859,0,0,562.88
1.53,-14.85,0,0,564.47
1.54,-14.84,0,0,566.06
1.55,-14.831,0,0,567.64
1.56,-14.822,0,0,569.23
1.57,-14.812,0,0,570.82
1.58,-14.803,0,0,572.4
1.59,-14.794,0,0,573.98
1.6,-14.784,0,0,575.56
1.61,-14.775,0,0,577.14
1.62,-14.766,0,0,578.72
1.63,-14.756,0,0,580.29
1.64,-14.747,0,0,581.86
1.65,-14.738,0,0,583.44
1.66,-14.729,0,0,585.01
1.67,-14.719,0,0,586.58
1.68,-14.71,0,0,588.15
1.69,-14.701,0,0,589.71
1.7,-14.692,0,0,591.28
1.71,-14.683,0,0,592.84
1.72,-14.673,0,0,594.4
1.73,-14.664,0,0,595.97
1.74,-14.655,0,0,597.52
1.75,-14.646,0,0,599.08
1.76,-14.637,0,0,600.64
1.77,-14.628,0,0,602.19
1.78,-14.619,0,0,603.75
1.79,-14.61,0,0,605.3
1.8,-14.601,0,0,606.85
1.81,-14.592,0,0,608.4
1.82,-14.583,0,0,609.95
1.83,-14.574,0,0,611.49
1.84,-14.565,0,0,613.04
1.85,-14.556,0,0,614.58
1.86,-14.547,0,0,616.12
1.87,-14.538,0,0,617.66
1.88,-14.529,0,0,619.2
1.89,-14.52,0,0,620.74
1.9,-14.511,0,0,622.28
1.91,-14.502,0,0,623.81
1.92,-14.493,0,0,625.34
1.93,-14.485,0,0,626.88
1.94,-14.476,0,0,628.41
1.95,-14.467,0,0,629.93
1.96,-14.458,0,0,631.46
1.97,-14.449,0,0,632.99
1.98,-14.441,0,0,634.51
1.99,-14.432,0,0,636.04
2,-14.423,0,0,637.56
2.01,-14.414,0,0,639.08
